Year,Sex,Fatal,Age,Moment
2018.0,F,N,57.0,Evening
2018.0,F,N,11.0,Afternoon
2018.0,M,N,48.0,Morning
2018.0,M,N,,
2018.0,M,Y,18.0,Afternoon
2018.0,M,N,52.0,
2018.0,M,N,15.0,Afternoon
2018.0,M,N,12.0,Afternoon
2018.0,M,N,32.0,Morning
2018.0,M,N,10.0,
2018.0,M,N,10.0,Afternoon
2018.0,M,N,21.0,Morning
2018.0,F,N,34.0,
2018.0,M,N,,Morning
2018.0,M,N,,Morning
2018.0,M,N,30.0,Morning
2018.0,M,N,,Afternoon
2018.0,M,N,,Morning
2018.0,M,N,60.0,Morning
2018.0,M,N,,Afternoon
2018.0,M,N,32.0,Evening
2018.0,M,N,33.0,Morning
2018.0,M,N,29.0,
2018.0,M,N,54.0,
2018.0,M,,34.0,
2018.0,M,N,41.0,
2018.0,M,N,37.0,Morning
2018.0,M,N,,Morning
2018.0,M,N,56.0,
2018.0,,N,,Afternoon
2018.0,M,N,12.0,Evening
2018.0,M,N,19.0,Afternoon
2018.0,M,N,25.0,Morning
2018.0,M,N,10.0,Afternoon
2018.0,M,N,69.0,Afternoon
2018.0,M,N,18.0,Morning
2018.0,M,N,38.0,
2018.0,F,N,55.0,Night
2018.0,M,N,34.0,Night
2018.0,M,N,35.0,Afternoon
2018.0,F,N,,Evening
2018.0,F,N,46.0,
2018.0,M,N,45.0,
2018.0,M,N,14.0,
2018.0,M,N,18.0,Morning
2018.0,M,N,45.0,Afternoon
2018.0,M,N,,Afternoon
2018.0,M,N,28.0,
2018.0,M,N,20.0,Afternoon
2017.0,F,N,54.0,Evening
2017.0,F,N,35.0,Afternoon
2017.0,M,N,24.0,
2017.0,F,N,25.0,
2017.0,M,N,26.0,
2017.0,F,Y,49.0,
2017.0,,Y,,
2017.0,M,N,25.0,Afternoon
2017.0,F,N,14.0,Afternoon
2017.0,M,N,25.0,Afternoon
2017.0,M,Y,22.0,Evening
2017.0,M,N,7.0,
2017.0,M,N,31.0,Morning
2017.0,M,N,,Afternoon
2017.0,M,N,,Afternoon
2017.0,M,N,17.0,Afternoon
2017.0,F,N,60.0,Morning
2017.0,F,N,15.0,Afternoon
2017.0,M,N,,Morning
2017.0,M,N,,Afternoon
